交易时间	公众账号ID	商户号	特约商户号	设备号	微信订单号	商户订单号	用户标识	交易类型	交易状态	付款银行	货币种类	应结订单金额	代金券金额	微信退款单号	商户退款单号	退款金额	充值券退款金额	退款类型	退款状态	公司名称	商户数据包	手续费	费率	订单金额	申请退款金额	费率备注				值	
`2020-08-11 18:13:56	`wx271ae48b10918188	`1516858981	`0	`	`4200000578202008110838843857	`230650484744188319	`oJdiI1F-iq3i8kwOBpfqYl97B30E	`NATIVE	`SUCCESS	`CMB_CREDIT	`CNY	`4.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉BG2	`r	`0.02000	`0.60%	4	0	`			总计	2978	6
`2020-08-12 10:20:36	`wx271ae48b10918188	`1516858981	`0	`	`4200000574202008129945180051	`380650542634788744	`oJdiI1HKeibOImdE1X7PeCGwrz7M	`NATIVE	`SUCCESS	`OTHERS	`CNY	`2.00	`0.00	`0	`0	`0.00	`0.00	`	`	广汽菲克	`r	`0.01000	`0.60%	2	0	`					
`2020-08-12 14:11:52	`wx271ae48b10918188	`1516858981	`0	`	`4200000586202008121075395685	`340650556666073454	`oJdiI1B8-FgzYg8P5SOYl1A-_mHY	`NATIVE	`SUCCESS	`OTHERS	`CNY	`29.00	`0.00	`0	`0	`0.00	`0.00	`	`	华住集团	`r	`0.17000	`0.60%	29	0	`					
`2020-08-13 13:33:21	`wx271ae48b10918188	`1516858981	`0	`	`4200000581202008136791329084	`470650640744209837	`oJdiI1BywWru70cX3xO6kWqkMGkM	`NATIVE	`SUCCESS	`ICBC_DEBIT	`CNY	`6.00	`0.00	`0	`0	`0.00	`0.00	`	`	华住集团	`r	`0.04000	`0.60%	6	0	`					
`2020-08-13 14:16:42	`wx271ae48b10918188	`1516858981	`0	`	`4200000581202008134238967501	`430650643277887169	`oJdiI1Er0qcdTl4impWSj5M1YQRA	`JSAPI	`SUCCESS	`OTHERS	`CNY	`20.00	`0.00	`0	`0	`0.00	`0.00	`	`	盖璞有限公司	`r	`0.12000	`0.60%	20	0	`					
`2020-08-14 10:24:39	`wx271ae48b10918188	`1516858981	`0	`	`4200000577202008145645620093	`730650715509079680	`oJdiI1C31s9f1SqLcD4NxZlak7jo	`JSAPI	`SUCCESS	`OTHERS	`CNY	`197.00	`0.00	`0	`0	`0.00	`0.00	`	`	道达尔集团	`r	`1.18000	`0.60%	197	0	`					
`2020-08-14 13:58:09	`wx271ae48b10918188	`1516858981	`0	`	`4200000585202008148283887045	`470650728609920709	`oJdiI1DWYmeZzDokGUrjuqOKwDc0	`NATIVE	`SUCCESS	`CMB_DEBIT	`CNY	`6.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.04000	`0.60%	6	0	`					
`2020-08-14 22:13:35	`wx271ae48b10918188	`1516858981	`0	`	`4200000585202008149859411028	`520650758314412596	`oJdiI1LpH8vaLbWjSksbJMMT4iNU	`NATIVE	`SUCCESS	`OTHERS	`CNY	`4.00	`0.00	`0	`0	`0.00	`0.00	`	`	达索析统（上海）信息技术有限公司	`r	`0.02000	`0.60%	4	0	`					
`2020-08-15 12:21:40	`wx271ae48b10918188	`1516858981	`0	`	`4200000595202008156368390759	`180650809249656303	`oJdiI1GNIKi1W8WySbn-L7BStJM8	`NATIVE	`SUCCESS	`COMM_DEBIT	`CNY	`38.00	`0.00	`0	`0	`0.00	`0.00	`	`	上海伏达半导体有限公司	`r	`0.23000	`0.60%	38	0	`					
`2020-08-15 20:20:51	`wx271ae48b10918188	`1516858981	`0	`	`4200000591202008159498818280	`640650837927994535	`oJdiI1DaKHF7-Kr37ePOCpvXAlB0	`JSAPI	`SUCCESS	`OTHERS	`CNY	`8.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉BG2	`r	`0.05000	`0.60%	8	0	`					
